playlist_id,track_ids
7, 8749 14765 12311  5924 17154 20443 20242  2765 13542 15498
25,14826  5606 10848  1111  8145 16866  7506  4202 11943  1714
29, 2508  9231 12075 18361 16521    56  8138  1898  1253 16708
34,14751 18661  6285 18303  6951 15386  1828 13734 10367  5746
50, 6892 13368 11896 16471  8229 15578 20287  8956 17239 12963
52, 9441 18059  1357 18254  7131  6577  8838 19173  1434   520
60, 1898  4916 13862  9229  4743 11258 11759 14149 16008 12075
64,15038  8437 20532 19624 16484  9491  8928  2203 12765  5020
77,13542  8749 20242 15578  5881  8956 14714  5924 13139 15498
80, 7323  9060  9670  9168     6  3919 19205 11654 18026  2186
106,18096 20263 15474  2873  6103 10567 10848 17984  1591   411
138,17663 18856 19969  9940 18824  5149  9473 10834  6137 15722
143,20172  8491 14826  7506   868  5606   411  4401 16494 11943
149,13980 15578 17239  6253 14591 14758 17597 10496 18728  3885
169,18254  9441  4710 14375 14213   456 10618  1473 17699  6985
180, 5606 10848  1111   797 16820  1714  6433  7506 16601  2117
210, 9804 14904 16583 19305   394  6971  2006  6220  4745 10977
231,  508 16457 15931  4962 18361 19462 13670 12906 16521 18404
241, 1641  4058  5359  4026 10706 15090 18421  7163  5100 14178
244, 8956 15578 13139 13237 17239  2674 10264   360 14395   541
256, 2508 18404 16521 14907  4743  9003 19462  9231 12931 16708
258, 6253 15578 14591 14395   360 18381 17239 15209 11366  4364
265,14597  5924 15498 13542 12940 12311 11233 16100 11157  8749
268, 3855  4743  5817  8045  2508  9231    56 11759 14149 11258
271,  394 16583 10691 19075 19305  9477  5023 19466  8342  2665
272, 6672  3961  2551 15988 17663 12071 12712  6821 10834 18645
275, 3885  8956 17239 13237 11107 13980 15578  2674  6253 10264
277,16673  4301  6971 14360  6433  7224  7989 11715 12910 14662
290, 2508 14907  8356 18404  1944  4148 16521  4774 16673 10833
310, 8749  1063 13542 20443  2765 15498 19243  9963 16973 12164
326,17034  9941 18074 16820 10636 12639 16601  3811 20169  5100
365, 8437 20461 14659  7989  6971  4301 12765 13129  9984  6823
392, 2674 10848 11070 15578  8956 14758  2272 10496 10250 13980
407,18418 17404 17034 17926 13452 13368 20287  7550  2317 10659
413, 4026 20169 10269 15090 16379    37 15781 14714  1641  5152
422, 8138 18361 11133  8356  1180 12075  4743  2489 10259  1944
432,  520  6577   913  3944 18254 12393 16930  2204 20007 10930
455, 4072 17404  5527 11016  6915   395 14558  5139  1014 18899
470, 5606  7506 14826   648 20172 10848  2997  1111   868  4910
492, 8956 15578 13980 13237 13139  3885 14758  6253 11107 10496
495,17200  1714 11759 12075  9231  1944  4148 18361 11074  9963
497, 2674 10250 16820   541  3885  9941 11107 13139  2912  8956
505, 1898  3855  9229  4743  7197  6453  2508   405 18040 14149
509, 5606 16820  4910  1111 12393  8767  7506 10269   648 14826
514, 8956 14591  1746 15578  2740   360 13237  6253 18381 18728
529,20172  1111  8491  7506  4910  5606   411 16866  8145   868
532,10269 18615 14375  1473 18254 19858 10618 14213   456  5443
537,20145 13006 13034 18074  5576  2117 17826  2367   216 20555
545, 6925 20371  1830 18547  4526 11282 19352 16465  5674  7436
564, 6672  3961 12071  9246 15185  7416 17663 11882 17635 14758
567,11016 18751 15694  4201   395  4072  5139 10368 19476  2631
580,20172 10848  5606   648   411  7506  2997 14826  4949  4401
582,15498 17634 12940  4909 14714  8358 12311 15650  5924 20150
592, 2508  4743  9003  8709 12623 16521  9231 18404 19340  8045
611,17984  6823  2980 11157  6892 15578  1290 15542 19991 16083
615,10081   913  1039 14903 15931 18220  6915  9242 17897  1014
619, 3001  6971 12507  9903  1023 20532 11740  5020  8437  8643
622, 4839 17699  6093 11283   624 15410 11148 18876 13024  6985
625,19858   456 18615 10618  4710  5443  6985 14375  6577  1374
631,16274  5228  2160  3150 14837  9205 19494 17301 16460 17980
633,13980 15578 14591 14395 13237 15209  6253  6892 18728 14758
636,12173  9670  9060     6 17764 14679 12295  3832  3919  2212
642,14395 13980 15578 13237 17239 17096  6253 13139 14591 15209
646, 5846 10636  3403 12718 11070  2317 18899 15495  1144 12393
676, 2674   573  3885   541  9705 10250 11107 17239 13101 18649
683, 4720  1020 14904 16486 18743  4013  9804  4765  5534 16331
686,12173 11654 18289 14679  2212  4255  3212  9961 10694 19292
704,10848   411  5606  2497 14826  8145  2272  7506  3830 16502
709,17663 10834  9834  9473 14147  9246 18856 18824  5149  1992
714, 7989 10833 14360   508  3685  4301 14662 12910  4359 13154
719,12919  9205 11211  1385  3150 11870 19396 16274 10019   553
721, 3885   573 13139   541 13980  2674  8956 15578 13101  6253
724, 3410 17550 20120 16080  5746 15386 20213 19486  4839 10367
731,20169  4013   797 16866 10706 15781  1641  5606 12721  1111
735,14395  6253 17239 12563 18728 10496   360 18381  2740 11366
737, 4089   508 10481  5020  2989  9886  7081 11740  5485  3256
740, 9003  2508  8709 16521  6776  7544 12623  4800  6408 12075
744, 3001 15750  2980  4301 14360 19991  4058 16673 17114  6823
746, 3860 19462  5655  7544  3624 12623  2236  5474  9003  8466
774,18617  8160 10684 19055 11661  2891  8377  9752 11196 13250
788,10848  8491 15474  6103   411  4482 20172  5572 15771 20263
818, 4089 10089 16673  8437 13154  3001  7224 12507 20532 15942
859, 8045 16521  7544  6776 12623 12075  6408  1060 12931 16708
914,14826 12510  3519  8539  5141   797  3830  7506  2151 16494
924,20263  7485  4106 18266 18096  5089 17774 10567 19055 12436
925,17663  6672  2551  3961 19969 12712 10834  4253  9473 20232
926,14826  5606  7506 20172 10848 16494   868  8145  3830   648
927,16930 19556 15471 20007  6492 20497  6577  7363  9314  8950
949,14758 19662  8956 18266 18096 13980 10496 12436 17597 12990
