playlist_id,track_ids
7, 8749 14765 12311  5924 17154 20443  2765 20242 15498 13542
25,14826 11943  8145  1111  4202  5606 16866 10848  7506  7545
29, 2508  9231 12075 18361  8138    56  1898 16521 17200  1253
34,14751 18661 15386  6285  5746  3410 19856 13734 11507 10367
50, 6892 11896 13368 16471  8229 20287 15578  8956 17239 12963
52,18059  9441  1357  7131  6577  8838 19173 18254  8456   520
60, 1898  9229 13862  4916  4743 12075  8169 14149  5817 16008
64,10089 15038  8437 12507 20532 16484  8928 19624 20135  2203
77,15578  8956 20242  5881 14360 13139 13542  3885  8749 13980
80, 9060  9670  9168  7323     6 18026 11654  3919  3413 19205
106,20263 15474 18096  2873  6103 12436 10567  1591 17984 10848
138,17663 18856 19969 18824  9940  5149  9473 10834 19825  6137
143,20172  8491 14826  7506   868  5606   411  4401 11943 16494
149,13980 15578 17597  6253 17239 10496 14591 14758   360 18728
169,18254 14213  4710 14375   456  9441 13787 17699 10618  6985
180, 5606  6433  1111 10848   797  7506 16820  1714 15542  2117
210, 9804 14904 16583 19305   394  6971  2006  8112 10977  4745
231,  508 15931 10481 12906 16457 19462 18361  3511  8640 16673
241, 1641  4058 10706 15090  4026  5359  5100  7163 19075  7545
244, 8956 15578 13237 13139 17239  2674   360 10264 11366 14395
256, 2508 18404 14907 16521  4743  9003  9231 19462 16708  1060
258,15578  6253 14395 14591   360 15209 11366 17239 18381  4364
265,11157  6823 14597 16083   607 18726 12426 12715  1489 19466
268, 3855  4743  5817  9231  2508 11759 14149    56  8045  9003
271,  394 19305 10691 16583  2665 19075  5023  8342 19466  9477
272, 6672 15988  2551  3961 17663 12712  7961 10834 18852  6821
275, 3885 17239  8956 13237 11107 15578  2674 18381 10264  6253
277,16673  6971  4301  6433  7224 10481 14360  7989 12910 11715
290, 2508 14907 16673  1944 17114 18404 10833  8356   508  4148
310, 8749  1063 13542  2765 20443 15498 16451 19243 16973 11233
326,17034  9941 18074 16820  5606 10636 12639 20169 16601  5100
365, 8437  7989 13129 14659 20461 12765  4301  6220  9984 11157
392, 2674 10848  2272 11070 15578  8956 10496 14758 18440 13980
407,18418 17034 17404  3880 17926  7550 13452  2317 10659 13368
413, 4026 15781 15090    37 10269 20169 16379 18399 10706   963
422, 1180  8138 10259 11133 18361  2489  8356 12075  4743 17200
432,  913   520 12393  3944  2204  6577 18254 10930 12526  8498
455, 5527  1014  4072 11016  7953   395 17404  4201 13276 13573
470, 5606  7506 14826 10848   868 20172  2997   648  4910  1111
492, 8956 15578 13980 13237 13139  3885 14758 10496  6253 11107
495,17200 11759  9963  1714 12075  1944  8356 11074 14826  4148
497, 2674 10250 16820  2117  3885  9941   541 11107 13139  2912
505, 1898  3855  9229  4743  7197  6453 18040 11759 14149  2508
509, 5606 16820  4910  1111 14826  8767 12393  7506  2780 10269
514, 8956 14591  1746  2740 15578   360 13237 17096 18381  6253
529,20172  1111  8491  7506  4910  5606 16866   411  8145   868
532,10269 18254 14375 18615 19858  1473   456 14213 10618  9441
537,20145 13006 13034 11407 13708  2117 10706  5576 17826 18440
545, 6925  1830 20371 16465  4526 11282 18547  5674 19352  7436
564,11882  6672 15185 14758 12071  6624  3961  7416  8956 17635
567,11016  2719  4072 18751  4201  2631 19476  7953 10316 11020
580,10848 20172  5606   648   411  7506 14826  4949  2997  4401
582,15498 17634 12940 14597 14714  4909 20150 17114  8749  7460
592, 2508  4743  8709  9003 12623  9231 14430  8045  6408 16521
611, 6823 17984  1290  2980 11157  6892 15542 16083 12426 15578
615,10081   913  1039 14558 17780 10316 16152  9242 18220 14903
619, 3001 12507  6971  9903  6823 11740  1023  5020 20532 11157
622, 4839  6093 17699   624 11283 11148  6985   456 15410 18876
625, 4710 18615 19858   456 10618 11400  6985  5443 14375  1374
631,16274 19494  9205  3150  2160 14837 11938 16460  1385  5228
633,13980 15578 15209 14395 14591 13237  6253  6892 18728  3347
636,12173  9670  9060     6 17764 14679 12295  3832  2212  3919
642,14395 13980 15578 13237 17239 17096 15209  6253  2740 13139
646, 5846  1144  3403 10636 14994 18899  2317 12718 11070 12393
676,  573  2674  3885  9705   541 18649 10250 11107 17239 13101
683, 4720  1020  7153   699 14904 18743  9804 10691 16486  4013
686,12173 11654 18289 14679  2212  3212  9961  4255 10694 15633
704,10848   411  2497  5606 14826  8145  7506  3830  2272 16502
709,17663 10834  9834  9473  9246 18856 14147  1992 18824  5149
714, 7989 10833  4301  2886 19929   508 14360  3685   579 11157
719,12919  9205 10019 11211  1385 16274 19396 10910 11870   553
721,  573  3885 13139 13980   541  9705  2674 13101  8956 15578
724, 3410 17550 20120  5746 16080 15386 19486 10367 20213  4998
731,20169  4013   797 10706 16866 12721 15781  5100 16601  5606
735,14395  6253 17239 18728 12563 10496  2740   360 17096 18381
737, 4089   508  5020  2989 10481  5485 11740  7081  9886  3256
740, 9003  8709  2508  7544 16521  6776  4800  6408 12623 12075
744, 3001 15750  2980  4301 19991  4058 14360 16673  6823 15775
746, 3860 19462  5655  5474  7544  2236 16521  3624  8466 11882
774, 8160 18617 11661 10684 11196 19055  2891  6494  9752  5089
788,10848 15474  8491  6103  4482  5572   411 12436 20172 15771
818, 4089 10089 16673  8437  7224 12765  3001 12507  8640 13154
859, 8045  7544 16521  6776 12931 12623  6408 12075  1060 16708
914,14826 12510  3519   797  5141  8539  4058  1641  7506 16994
924, 7485 20263  5089  4106 18096 19055 17774 18266 10567 14758
925,17663  2551  6672 10834  3961 19969  4253 12712  9473 17635
926,14826  5606  7506 10848 20172   868  4514  3830  8145 16494
927,16930 19556 15471  6492 20007  6577 20497 11599  9314  1979
949,14758 19662 18096  8956 18266 13980 10496 12436 17597  2873
957,11740   368  4079 13129  2203  8437 13435  5020  4710  2783
961, 9246 17663  3961 15988  8047  4253  9473 19969  2918  2551
988, 8356  8001  8138  5186 15341  2274 11133 17200 17586  3600
994, 7539  1329  9175 20262 10019 17138 14774  2638   149 10910
1016, 6672  8047  1944 14907 17663  3961  9246 17635 10834 18404
1021, 5700 12804 15392 17748  8129 17383  1777 15548  1246 19135
1027,12071 14907  6509  3961 18852 18404  5965  2508 16521 18361
1046,12599  5100  1056 19398  5739 13592  5359  5633  3097 16973
1057, 2090 17530  9007  1180 10259 12393 14012 17131  9963   877
1065,10848  8145  1111  7506 11943 20172 14826 16502   868  5606
1066, 3622 17200  2897  7904  8138  3648 14765  4965  8169  2853
1087,  797  1111 14826  4910 10591 15781 13029 12639 10706 16994
1092,19075  4745 14904  2665  2132   394  9804 19305 18743  9579
1099,14826 10848 12510 20172  5141 10269   648 15900  4910 16494
1103, 3698  4301  4954  3001 15750   508  1023 11157  4359 10089
1108,12173 15312  9670  9060 17764  3413 18289  2212 12295  3832
1115, 7989 14360  4301 13129  9346 17114  2980  5947  3698  9984
1120, 6113 10019 10910  7133  1813 17138  9205 19396  1329 15783
1126,20172 14826  8145  5606  2497  8491  7506   868  4910   411
1129, 7550  4072  6915 10316 18899 17404  5541  1039 10659 18377
1147, 2186 12173 18057  3413 19205 15312 11654  6197  9670  8297
1163,12623  4743  9231  2508  7544  8709 18404 12931  8466  6776
1169,18404 11882 18361  9003 14907   628    56  2508  1060  4369
